[06:57:06]	Г@H3NK has connected.
[11:07:21]	Александр Климов has spawned 'models/props_wasteland/interior_fence002e.mdl'.
[11:07:34]	֍ Aime-moi ֍ has connected.
[11:07:40]	Александр Климов has spawned 'models/props_wasteland/interior_fence003d.mdl'.
[11:08:16]	Александр Климов has spawned 'models/props_wasteland/prison_cellwindow002a.mdl'.
[11:08:24]	Александр Климов used the 'Арина' vendor.
[11:08:39]	Александр Климов has spawned 'models/props_c17/door01_left.mdl'.
[11:08:43]	֍ Aime-moi ֍ loaded the character 'MPF-RL.51561'
[11:09:04]	MPF-RL.51561 used command '/CharSetModel MPF models/metropolice/male_09.mdl'.
[11:09:24]	Александр Климов has spawned 'models/props_wasteland/interior_fence002b.mdl'.
[11:09:26]	Александр Климов has spawned 'models/props_wasteland/interior_fence002a.mdl'.
[11:09:53]	֍ Aime-moi ֍ (STEAM_0:0:424879351) deleted character 'MPF-RL.51561'
[11:09:59]	֍ Aime-moi ֍ loaded the character 'D8.MPF-BLADE.57989'
[11:10:08]	D8.MPF-BLADE.57989 entered observer.
[11:10:32]	Александр Климов has spawned 'models/props_wasteland/interior_fence003d.mdl'.
[11:10:33]	D8.MPF-BLADE.57989 has spawned 'models/combine_advisor_pod/combine_advisor_pod.mdl'.
[11:10:36]	Александр Климов has spawned 'models/props_wasteland/interior_fence001g.mdl'.
[11:10:42]	D8.MPF-BLADE.57989 has spawned 'models/combine_turrets/combine_cannon.mdl'.
[11:10:52]	D8.MPF-BLADE.57989 has spawned 'models/combine_turrets/combine_cannon.mdl'.
[11:11:02]	Александр Климов has taken 5 damage from D8.MPF-BLADE.57989.
[11:11:10]	Александр Климов has taken 100 damage from D8.MPF-BLADE.57989.
[11:11:10]	D8.MPF-BLADE.57989 has killed Александр Климов with weapon_physgun.
[11:11:25]	D8.MPF-BLADE.57989 exited observer at their location.
[11:11:27]	Александр Климов entered observer.
[11:11:29]	Александр Климов exited observer at their location.
[11:12:12]	Александр Климов has disabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:12:14]	Александр Климов has disabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:12:19]	Александр Климов has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:12:20]	Александр Климов has disabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:12:24]	D8.MPF-BLADE.57989 entered observer.
[11:12:26]	Александр Климов has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:12:26]	D8.MPF-BLADE.57989 has spawned 'models/combine_turrets/floor_turret_gib1.mdl'.
[11:12:27]	Александр Климов has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:12:33]	D8.MPF-BLADE.57989 has spawned 'models/dogvsstrider/rockslide.mdl'.
[11:12:38]	D8.MPF-BLADE.57989 has spawned 'models/effects/vol_light256x512.mdl'.
[11:12:42]	D8.MPF-BLADE.57989 has spawned 'models/effects/vol_light128x128.mdl'.
[11:12:45]	D8.MPF-BLADE.57989 exited observer at their location.
[11:12:47]	D8.MPF-BLADE.57989 entered observer.
[11:12:48]	D8.MPF-BLADE.57989 has spawned 'models/effects/vol_light01.mdl'.
[11:13:13]	D8.MPF-BLADE.57989 has spawned 'models/props_citizen_tech/transponder.mdl'.
[11:13:15]	D8.MPF-BLADE.57989 exited observer at their location.
[11:13:21]	D8.MPF-BLADE.57989 has spawned 'models/props_citizen_tech/firetrap_gashose01d.mdl'.
[11:13:23]	D8.MPF-BLADE.57989 entered observer.
[11:13:44]	D8.MPF-BLADE.57989 has spawned 'models/props_radiostation/radio_metaldoor01a.mdl'.
[11:13:48]	D8.MPF-BLADE.57989 has spawned 'models/props_radiostation/radio_metaldoor01.mdl'.
[11:13:48]	D8.MPF-BLADE.57989 exited observer at their location.
[11:13:55]	Александр Климов has spawned 'models/props_wasteland/prison_celldoor001b.mdl'.
[11:14:01]	D8.MPF-BLADE.57989 entered observer.
[11:14:11]	D8.MPF-BLADE.57989 has spawned 'models/props_trainstation/train_orecar.mdl'.
[11:14:15]	D8.MPF-BLADE.57989 has spawned 'models/props_trainstation/diesel.mdl'.
[11:14:21]	D8.MPF-BLADE.57989 exited observer at their location.
[11:14:25]	Александр Климов has spawned 'models/props_wasteland/controlroom_filecabinet001a.mdl'.
[11:14:40]	D8.MPF-BLADE.57989 has spawned a 'Entity [851][ix_rationdispenser]'.
[11:14:42]	D8.MPF-BLADE.57989 has spawned a 'Entity [880][ix_rationdispenser]'.
[11:14:44]	D8.MPF-BLADE.57989 entered observer.
[11:14:46]	D8.MPF-BLADE.57989 exited observer at their location.
[11:14:49]	Александр Климов has spawned 'models/props_docks/dock01_pole01a_128.mdl'.
[11:14:54]	D8.MPF-BLADE.57989 entered observer.
[11:14:55]	D8.MPF-BLADE.57989 exited observer at their location.
[11:14:56]	D8.MPF-BLADE.57989 entered observer.
[11:14:56]	D8.MPF-BLADE.57989 exited observer at their location.
[11:14:59]	D8.MPF-BLADE.57989 has gained 100 tokens.
[11:15:08]	D8.MPF-BLADE.57989 entered observer.
[11:15:12]	D8.MPF-BLADE.57989 exited observer at their location.
[11:15:17]	D8.MPF-BLADE.57989 has spawned a 'Entity [854][ix_rationdispenser]'.
[11:15:23]	Александр Климов has spawned 'models/props_docks/dock01_pole01a_128.mdl'.
[11:15:33]	D8.MPF-BLADE.57989 entered observer.
[11:15:34]	D8.MPF-BLADE.57989 exited observer at their location.
[11:15:35]	D8.MPF-BLADE.57989 entered observer.
[11:15:35]	D8.MPF-BLADE.57989 exited observer at their location.
[11:15:43]	D8.MPF-BLADE.57989 entered observer.
[11:15:54]	D8.MPF-BLADE.57989 exited observer at their location.
[11:15:58]	D8.MPF-BLADE.57989 entered observer.
[11:16:04]	D8.MPF-BLADE.57989 has spawned a 'Entity [836][beds_frame]'.
[11:16:11]	D8.MPF-BLADE.57989 exited observer at their location.
[11:16:14]	D8.MPF-BLADE.57989 has spawned a 'Entity [836][beds_custom]'.
[11:16:19]	D8.MPF-BLADE.57989 entered observer.
[11:16:20]	D8.MPF-BLADE.57989 exited observer at their location.
[11:16:48]	D8.MPF-BLADE.57989 has spawned a 'Entity [836][beds_mattress]'.
[11:16:53]	D8.MPF-BLADE.57989 entered observer.
[11:17:10]	D8.MPF-BLADE.57989 has spawned a 'Entity [838][sent_ball]'.
[11:17:14]	Александр Климов entered observer.
[11:17:19]	Александр Климов exited observer at their location.
[11:17:20]	D8.MPF-BLADE.57989 has spawned a 'Entity [911][sent_ball]'.
[11:17:23]	D8.MPF-BLADE.57989 has spawned a 'Entity [838][sent_ball]'.
[11:17:23]	D8.MPF-BLADE.57989 has spawned a 'Entity [911][sent_ball]'.
[11:17:23]	D8.MPF-BLADE.57989 has spawned a 'Entity [912][sent_ball]'.
[11:17:23]	D8.MPF-BLADE.57989 has spawned a 'Entity [913][sent_ball]'.
[11:17:23]	D8.MPF-BLADE.57989 has spawned a 'Entity [914][sent_ball]'.
[11:17:23]	D8.MPF-BLADE.57989 has spawned a 'Entity [915][sent_ball]'.
[11:17:24]	D8.MPF-BLADE.57989 has spawned a 'Entity [916][sent_ball]'.
[11:17:24]	D8.MPF-BLADE.57989 has spawned a 'Entity [917][sent_ball]'.
[11:17:24]	D8.MPF-BLADE.57989 has spawned a 'Entity [924][sent_ball]'.
[11:17:24]	D8.MPF-BLADE.57989 has spawned a 'Entity [925][sent_ball]'.
[11:17:24]	D8.MPF-BLADE.57989 has spawned a 'Entity [926][sent_ball]'.
[11:17:24]	D8.MPF-BLADE.57989 has spawned a 'Entity [927][sent_ball]'.
[11:17:24]	D8.MPF-BLADE.57989 has spawned a 'Entity [928][sent_ball]'.
[11:17:24]	D8.MPF-BLADE.57989 has spawned a 'Entity [929][sent_ball]'.
[11:17:25]	D8.MPF-BLADE.57989 has spawned a 'Entity [930][sent_ball]'.
[11:17:25]	D8.MPF-BLADE.57989 has spawned a 'Entity [937][sent_ball]'.
[11:17:25]	D8.MPF-BLADE.57989 has spawned a 'Entity [975][sent_ball]'.
[11:17:25]	D8.MPF-BLADE.57989 has spawned a 'Entity [980][sent_ball]'.
[11:17:25]	D8.MPF-BLADE.57989 has spawned a 'Entity [981][sent_ball]'.
[11:17:25]	D8.MPF-BLADE.57989 has spawned a 'Entity [997][sent_ball]'.
[11:17:25]	D8.MPF-BLADE.57989 has spawned a 'Entity [998][sent_ball]'.
[11:17:26]	D8.MPF-BLADE.57989 has spawned a 'Entity [999][sent_ball]'.
[11:17:36]	D8.MPF-BLADE.57989 has spawned a 'Entity [838][sent_ball]'.
[11:17:37]	D8.MPF-BLADE.57989 has spawned a 'Entity [911][sent_ball]'.
[11:17:37]	D8.MPF-BLADE.57989 has spawned a 'Entity [912][sent_ball]'.
[11:17:38]	D8.MPF-BLADE.57989 has spawned a 'Entity [913][sent_ball]'.
[11:17:39]	D8.MPF-BLADE.57989 has spawned a 'Entity [914][sent_ball]'.
[11:17:39]	D8.MPF-BLADE.57989 has spawned a 'Entity [915][sent_ball]'.
[11:17:40]	D8.MPF-BLADE.57989 has spawned a 'Entity [916][sent_ball]'.
[11:17:40]	D8.MPF-BLADE.57989 has spawned a 'Entity [917][sent_ball]'.
[11:17:41]	D8.MPF-BLADE.57989 has spawned a 'Entity [924][sent_ball]'.
[11:17:41]	D8.MPF-BLADE.57989 has spawned a 'Entity [925][sent_ball]'.
[11:17:41]	D8.MPF-BLADE.57989 has spawned a 'Entity [926][sent_ball]'.
[11:17:42]	D8.MPF-BLADE.57989 has spawned a 'Entity [927][sent_ball]'.
[11:17:42]	D8.MPF-BLADE.57989 has spawned a 'Entity [928][sent_ball]'.
[11:17:43]	D8.MPF-BLADE.57989 has spawned a 'Entity [929][sent_ball]'.
[11:17:43]	D8.MPF-BLADE.57989 has spawned a 'Entity [930][sent_ball]'.
[11:17:43]	D8.MPF-BLADE.57989 has spawned a 'Entity [937][sent_ball]'.
[11:17:43]	D8.MPF-BLADE.57989 has spawned a 'Entity [975][sent_ball]'.
[11:17:44]	D8.MPF-BLADE.57989 has spawned a 'Entity [980][sent_ball]'.
[11:17:44]	D8.MPF-BLADE.57989 has spawned a 'Entity [981][sent_ball]'.
[11:17:44]	D8.MPF-BLADE.57989 has spawned a 'Entity [997][sent_ball]'.
[11:17:44]	D8.MPF-BLADE.57989 has spawned a 'Entity [998][sent_ball]'.
[11:17:45]	D8.MPF-BLADE.57989 has spawned a 'Entity [999][sent_ball]'.
[11:17:45]	D8.MPF-BLADE.57989 has spawned a 'Entity [1000][sent_ball]'.
[11:17:45]	D8.MPF-BLADE.57989 has spawned a 'Entity [1001][sent_ball]'.
[11:17:45]	D8.MPF-BLADE.57989 has spawned a 'Entity [1002][sent_ball]'.
[11:17:45]	D8.MPF-BLADE.57989 has spawned a 'Entity [1003][sent_ball]'.
[11:17:46]	D8.MPF-BLADE.57989 has spawned a 'Entity [1068][sent_ball]'.
[11:17:46]	D8.MPF-BLADE.57989 has spawned a 'Entity [1073][sent_ball]'.
[11:17:46]	D8.MPF-BLADE.57989 has spawned a 'Entity [1084][sent_ball]'.
[11:17:46]	D8.MPF-BLADE.57989 has spawned a 'Entity [1085][sent_ball]'.
[11:17:46]	D8.MPF-BLADE.57989 has spawned a 'Entity [1095][sent_ball]'.
[11:17:47]	D8.MPF-BLADE.57989 has spawned a 'Entity [1097][sent_ball]'.
[11:17:47]	D8.MPF-BLADE.57989 has spawned a 'Entity [1098][sent_ball]'.
[11:17:47]	D8.MPF-BLADE.57989 has spawned a 'Entity [1099][sent_ball]'.
[11:17:53]	Александр Климов has spawned 'models/props_debris/metal_panel01a.mdl'.
[11:18:11]	D8.MPF-BLADE.57989 has spawned a 'Entity [838][sent_ball]'.
[11:18:59]	D8.MPF-BLADE.57989 exited observer at their location.
[11:19:01]	D8.MPF-BLADE.57989 entered observer.
[11:19:07]	Александр Климов entered observer.
[11:19:08]	Александр Климов exited observer at their location.
[11:19:08]	Александр Климов entered observer.
[11:19:23]	Александр Климов exited observer at their location.
[11:19:25]	Александр Климов entered observer.
[11:19:30]	Александр Климов has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[11:19:37]	Александр Климов has spawned 'models/props_junk/cardboard_box001a.mdl'.
[11:19:50]	Александр Климов has spawned 'models/props_junk/cardboard_box003a.mdl'.
[11:19:59]	D8.MPF-BLADE.57989 has gained 100 tokens.
[11:20:07]	Александр Климов has spawned 'models/props_lab/filecabinet02.mdl'.
[11:20:12]	Александр Климов exited observer at their location.
[11:20:14]	D8.MPF-BLADE.57989 has spawned a 'Entity [913][st_radio_cuban_n]'.
[11:20:30]	Александр Климов has spawned 'models/props_c17/oildrum001.mdl'.
[11:20:31]	D8.MPF-BLADE.57989 has spawned a 'Entity [915][st_radio_bongo_n]'.
[11:20:36]	Александр Климов has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[11:20:42]	Александр Климов has spawned 'models/props_lab/blastdoor001a.mdl'.
[11:20:52]	D8.MPF-BLADE.57989 has spawned a 'Entity [915][st_radio_flamenco_n]'.
[11:20:54]	D8.MPF-BLADE.57989 has spawned a 'Entity [915][st_radio_flamenco_o]'.
[11:21:02]	D8.MPF-BLADE.57989 exited observer at their location.
[11:21:04]	D8.MPF-BLADE.57989 entered observer.
[11:21:13]	Александр Климов entered observer.
[11:21:14]	Александр Климов exited observer at their location.
[11:21:18]	Александр Климов entered observer.
[11:21:19]	Александр Климов exited observer at their location.
[11:21:20]	D8.MPF-BLADE.57989 has spawned a 'Entity [836][st_radio_finetuned_o]'.
[11:21:27]	D8.MPF-BLADE.57989 exited observer at their location.
[11:21:30]	D8.MPF-BLADE.57989 entered observer.
[11:21:36]	D8.MPF-BLADE.57989 exited observer at their location.
[11:21:37]	D8.MPF-BLADE.57989 has spawned a 'Entity [836][st_radio_country_o]'.
[11:21:37]	Александр Климов has spawned 'models/props_docks/dock01_pole01a_128.mdl'.
[11:21:44]	D8.MPF-BLADE.57989 entered observer.
[11:21:57]	D8.MPF-BLADE.57989 exited observer at their location.
[11:21:58]	D8.MPF-BLADE.57989 entered observer.
[11:21:59]	D8.MPF-BLADE.57989 exited observer at their location.
[11:22:38]	D8.MPF-BLADE.57989 entered observer.
[11:23:28]	Александр Климов entered observer.
[11:23:29]	Александр Климов exited observer at their location.
[11:23:45]	Александр Климов has spawned 'models/props_trainstation/BenchOutdoor01a.mdl'.
[11:23:59]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[11:23:59]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[11:24:00]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[11:24:01]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[11:24:11]	D8.MPF-BLADE.57989 used command '/PanelAdd https://s.tcdn.co/b1c/332/b1c3320c-b169-38ec-8b6b-f4c2e9916745/9.png 1'.
[11:24:14]	D8.MPF-BLADE.57989 exited observer at their location.
[11:24:14]	D8.MPF-BLADE.57989 entered observer.
[11:24:30]	D8.MPF-BLADE.57989 used command '/PanelAdd https://s.tcdn.co/b1c/332/b1c3320c-b169-38ec-8b6b-f4c2e9916745/9.png 5 5 5'.
[11:24:31]	Александр Климов has enabled persistence for 'models/props_wasteland/interior_fence002a.mdl'.
[11:24:32]	Александр Климов has enabled persistence for 'models/props_wasteland/interior_fence002e.mdl'.
[11:24:33]	Александр Климов has enabled persistence for 'models/props_c17/door01_left.mdl'.
[11:24:34]	Александр Климов has enabled persistence for 'models/props_wasteland/interior_fence003d.mdl'.
[11:24:35]	D8.MPF-BLADE.57989 exited observer at their location.
[11:24:36]	Александр Климов has enabled persistence for 'models/props_wasteland/cafeteria_table001a.mdl'.
[11:24:42]	D8.MPF-BLADE.57989 entered observer.
[11:25:01]	D8.MPF-BLADE.57989 has gained 100 tokens.
[11:25:22]	Александр Климов has enabled persistence for 'models/props_debris/metal_panel01a.mdl'.
[11:25:24]	Александр Климов has enabled persistence for 'models/props_junk/cardboard_box003a.mdl'.
[11:25:25]	Александр Климов has enabled persistence for 'models/props_junk/cardboard_box001a.mdl'.
[11:25:25]	Александр Климов has enabled persistence for 'models/props_interiors/furniture_chair03a.mdl'.
[11:25:27]	Александр Климов has enabled persistence for 'models/props_docks/dock01_pole01a_128.mdl'.
[11:25:32]	Александр Климов has enabled persistence for 'models/props_docks/dock01_pole01a_128.mdl'.
[11:25:33]	Александр Климов has enabled persistence for 'models/props_docks/dock01_pole01a_128.mdl'.
[11:25:39]	Александр Климов has enabled persistence for 'models/props_wasteland/interior_fence001g.mdl'.
[11:25:43]	Александр Климов has enabled persistence for 'models/props_c17/oildrum001.mdl'.
[11:25:44]	Александр Климов has enabled persistence for 'models/props_lab/blastdoor001a.mdl'.
[11:25:45]	Александр Климов entered observer.
[11:25:46]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:25:48]	Александр Климов has disabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:25:48]	Александр Климов has disabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:25:50]	Александр Климов has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:25:51]	Александр Климов has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:25:52]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:25:56]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:25:59]	Александр Климов exited observer at their location.
[11:26:01]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:26:29]	Александр Климов has enabled persistence for 'models/props_trainstation/benchoutdoor01a.mdl'.
[11:26:29]	Александр Климов has enabled persistence for 'models/props_trainstation/benchoutdoor01a.mdl'.
[11:26:30]	Александр Климов has enabled persistence for 'models/props_trainstation/benchoutdoor01a.mdl'.
[11:26:32]	Александр Климов has enabled persistence for 'models/props_trainstation/benchoutdoor01a.mdl'.
[11:26:33]	Александр Климов has enabled persistence for 'models/props_trainstation/benchoutdoor01a.mdl'.
[11:26:34]	Александр Климов entered observer.
[11:26:35]	Александр Климов exited observer at their location.
[11:26:51]	D8.MPF-BLADE.57989 used command '/PanelAdd https://i.playground.ru/i/pix/62076/image.jpg 10 10 10'.
[11:27:06]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:27:14]	D8.MPF-BLADE.57989 used command '/PanelAdd https://i.playground.ru/i/pix/62076/image.jpg 50 100'.
[11:27:26]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:27:30]	Александр Климов entered observer.
[11:27:32]	Александр Климов exited observer at their location.
[11:27:32]	Александр Климов has taken 5 damage from pipe_damage.
[11:27:33]	Александр Климов entered observer.
[11:27:33]	D8.MPF-BLADE.57989 used command '/PanelAdd https://i.playground.ru/i/pix/62076/image.jpg 50 80 30'.
[11:27:34]	Александр Климов exited observer at their location.
[11:27:37]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:27:38]	Александр Климов entered observer.
[11:27:39]	Александр Климов exited observer at their location.
[11:27:42]	D8.MPF-BLADE.57989 used command '/PanelAdd https://i.playground.ru/i/pix/62076/image.jpg 50 80 10'.
[11:27:44]	Александр Климов entered observer.
[11:27:45]	Александр Климов exited observer at their location.
[11:27:45]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:27:48]	D8.MPF-BLADE.57989 used command '/PanelAdd https://i.playground.ru/i/pix/62076/image.jpg 50 80 10'.
[11:27:52]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:27:55]	D8.MPF-BLADE.57989 used command '/PanelAdd https://i.playground.ru/i/pix/62076/image.jpg 50 80 10'.
[11:29:04]	Александр Климов has spawned 'models/props_c17/FurnitureTable001a.mdl'.
[11:29:16]	Александр Климов entered observer.
[11:29:42]	D8.MPF-BLADE.57989 used command '/PanelAdd https://static.hentai-img.com/upload/20091004/32/32474/115.jpg 10 10 5'.
[11:29:44]	D8.MPF-BLADE.57989 exited observer at their location.
[11:29:47]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:29:50]	D8.MPF-BLADE.57989 entered observer.
[11:29:51]	D8.MPF-BLADE.57989 exited observer at their location.
[11:30:01]	D8.MPF-BLADE.57989 has gained 100 tokens.
[11:30:03]	D8.MPF-BLADE.57989 used command '/PanelAdd https://s.tcdn.co/b1c/332/b1c3320c-b169-38ec-8b6b-f4c2e9916745/9.png 5 5 5'.
[11:30:03]	Александр Климов exited observer at their location.
[11:30:05]	D8.MPF-BLADE.57989 entered observer.
[11:30:05]	Александр Климов entered observer.
[11:30:08]	Александр Климов exited observer at their location.
[11:30:11]	Александр Климов entered observer.
[11:30:14]	Александр Климов exited observer at their location.
[11:30:22]	Александр Климов has spawned 'models/hunter/plates/plate1x1.mdl'.
[11:30:38]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:30:47]	Александр Климов ran 'Equip' on item 'M3 Super 90' (#189)
[11:30:51]	D8.MPF-BLADE.57989 used command '/PanelAdd https://static2.hentai-img.com/upload/20160801/75/76668/17.jpg 10 10 10'.
[11:30:53]	D8.MPF-BLADE.57989 exited observer at their location.
[11:30:55]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:30:57]	Александр Климов has gained 0 tokens.
[11:30:57]	Александр Климов ordered a shipment
[11:30:58]	D8.MPF-BLADE.57989 used command '/PanelAdd https://static2.hentai-img.com/upload/20160801/75/76668/17.jpg 10 10'.
[11:31:00]	Александр Климов has gained a 'Ящик гильз' #190.
[11:31:00]	Александр Климов took 'Ящик гильз' from the shipment
[11:31:01]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:31:03]	Александр Климов ran 'use' on item 'Ящик гильз' (#190)
[11:31:30]	D8.MPF-BLADE.57989 entered observer.
[11:31:36]	Александр Климов opened the 'File Cabinet' #61 container.
[11:31:40]	D8.MPF-BLADE.57989 used command '/PanelAdd https://pbs.twimg.com/profile_banners/1656266911/1451300116/1500x500 10 10 50'.
[11:31:41]	Александр Климов ran 'EquipUn' on item 'M3 Super 90' (#189)
[11:31:43]	Александр Климов closed the 'File Cabinet' #61 container.
[11:31:43]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:31:47]	D8.MPF-BLADE.57989 exited observer at their location.
[11:31:56]	D8.MPF-BLADE.57989 used command '/PanelAdd https://pbs.twimg.com/profile_banners/1656266911/1451300116/1500x500 10 10'.
[11:31:58]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:32:05]	Александр Климов opened the 'File Cabinet' #61 container.
[11:32:07]	Александр Климов has gained a 'M3 Super 90' #189.
[11:32:08]	Александр Климов closed the 'File Cabinet' #61 container.
[11:32:12]	D8.MPF-BLADE.57989 entered observer.
[11:32:16]	Александр Климов has set the password for 'File Cabinet'.
[11:32:31]	Александр Климов entered observer.
[11:32:32]	Александр Климов exited observer at their location.
[11:32:33]	Александр Климов entered observer.
[11:32:37]	Александр Климов exited observer at their location.
[11:33:02]	D8.MPF-BLADE.57989 has spawned a 'Entity [836][st_radio_jams_o]'.
[11:33:05]	Александр Климов entered observer.
[11:33:05]	Александр Климов used the 'Арина' vendor.
[11:33:07]	D8.MPF-BLADE.57989 exited observer at their location.
[11:33:08]	D8.MPF-BLADE.57989 entered observer.
[11:33:08]	Александр Климов exited observer at their location.
[11:33:09]	D8.MPF-BLADE.57989 exited observer at their location.
[11:33:10]	D8.MPF-BLADE.57989 entered observer.
[11:33:20]	D8.MPF-BLADE.57989 has spawned a 'Entity [836][st_radio_cuban_n]'.
[11:33:24]	D8.MPF-BLADE.57989 exited observer at their location.
[11:33:27]	D8.MPF-BLADE.57989 entered observer.
[11:33:31]	Александр Климов has lost 24 tokens.
[11:33:31]	Александр Климов ordered a shipment
[11:33:34]	Александр Климов has gained a 'Китайская лапша' #190.
[11:33:34]	Александр Климов took 'Китайская лапша' from the shipment
[11:33:36]	Александр Климов took 'Китайская лапша' from the shipment
[11:33:36]	D8.MPF-BLADE.57989 has spawned a 'Entity [879][gw_hunter]'.
[11:33:36]	Александр Климов took 'Китайская лапша' from the shipment
[11:33:38]	D8.MPF-BLADE.57989 exited observer at their location.
[11:33:42]	D8.MPF-BLADE.57989 entered observer.
[11:33:53]	Александр Климов ran 'Eat' on item 'Китайская лапша' (#190)
[11:35:01]	D8.MPF-BLADE.57989 has gained 100 tokens.
[11:35:09]	Александр Климов ran 'Eat' on item 'Китайская лапша' (#191)
[11:35:10]	Александр Климов ran 'Eat' on item 'Китайская лапша' (#192)
[11:35:27]	Александр Климов entered observer.
[11:35:27]	Александр Климов exited observer at their location.
[11:35:54]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:35:56]	D8.MPF-BLADE.57989 used command '/PanelAdd http://risovach.ru/upload/2013/10/mem/mne-kazhetsya-ili-lila_32899270_orig_.jpg 10 10 10'.
[11:36:12]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:36:18]	D8.MPF-BLADE.57989 used command '/PanelAdd http://risovach.ru/upload/2013/10/mem/mne-kazhetsya-ili-lila_32899270_orig_.jpg 10 10 30'.
[11:36:22]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:36:24]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:36:24]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:36:25]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:36:26]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:36:26]	D8.MPF-BLADE.57989 used command '/PanelAdd http://risovach.ru/upload/2013/10/mem/mne-kazhetsya-ili-lila_32899270_orig_.jpg 10 10 60'.
[11:36:26]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:36:27]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:36:27]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:36:29]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:36:43]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:36:43]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:36:48]	D8.MPF-BLADE.57989 used command '/PanelAdd http://risovach.ru/upload/2013/10/mem/mne-kazhetsya-ili-lila_32899270_orig_.jpg 20 20 80'.
[11:36:52]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:36:54]	D8.MPF-BLADE.57989 used command '/PanelAdd http://risovach.ru/upload/2013/10/mem/mne-kazhetsya-ili-lila_32899270_orig_.jpg 20 20 80'.
[11:36:57]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:36:57]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:37:01]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:37:03]	D8.MPF-BLADE.57989 used command '/PanelAdd http://risovach.ru/upload/2013/10/mem/mne-kazhetsya-ili-lila_32899270_orig_.jpg 20 20 100'.
[11:37:05]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:37:06]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:37:26]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:37:43]	D8.MPF-BLADE.57989 used command '/PanelAdd http://risovach.ru/upload/2014/10/mem/leonid-arkadevich-nedovolen_64607493_orig_.jpeg 20 20 100'.
[11:37:47]	D8.MPF-BLADE.57989 exited observer at their location.
[11:37:47]	D8.MPF-BLADE.57989 entered observer.
[11:37:49]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:37:55]	D8.MPF-BLADE.57989 used command '/PanelAdd http://risovach.ru/upload/2014/10/mem/leonid-arkadevich-nedovolen_64607493_orig_.jpeg 10 10 50'.
